41,85
41,90
48,131
53,54
63,157
67,161
71,60
74,42
88,62
91,132
123,167
124,108
124,109
124,117
127,118
127,119
131,189
131,190
138,70
140,133
143,128
147,193
148,131
157,189
159,158
165,157
175,169
181,140
183,118
185,59
191,80
193,42
194,42
196,62
196,99
198,80
198,131
200,139
203,167
210,171
211,84
214,169
215,115
217,151
218,106
219,130
221,137
222,45
226,171
228,182
234,126
234,133
235,130
236,172
240,50
240,123
240,153
241,127
242,129
246,42
249,53
249,126
252,60
252,142
253,71
256,119
257,162
259,56
259,76
259,134
259,143
263,61
263,113
267,131
270,92
273,62
275,84
277,66
277,108
278,109
280,89
281,109
283,99
283,144
284,65
289,116
291,159
