46,127
46,134
69,138
79,97
82,131
85,182
86,84
133,83
146,78
147,117
154,131
173,115
179,96
179,116
180,96
184,110
187,114
189,213
190,173
190,174
193,112
204,87
204,88
207,131
210,83
211,83
213,108
213,109
217,186
217,187
223,103
226,44
238,77
239,77
241,72
244,71
244,220
248,70
248,71
248,185
252,172
252,173
255,94
256,142
261,92
271,207
272,207
273,141
273,142
286,225
292,166
294,134
295,66
295,134
301,208
308,100
319,216
320,216
327,45
328,174
338,94
341,129
343,203
350,47
364,99
367,153
367,154
367,171
374,67
387,111
392,47
400,62
407,192
