21,132
23,172
26,177
34,112
36,169
37,169
43,122
50,121
52,115
71,75
86,48
86,49
97,70
101,221
109,62
112,215
114,190
122,121
134,35
134,36
156,81
158,72
160,89
161,111
162,65
167,76
168,52
178,163
180,74
186,226
190,172
192,158
194,161
200,157
201,187
212,135
212,188
215,145
219,123
223,134
223,226
224,132
226,110
231,106
232,121
233,177
235,227
242,136
245,237
248,143
250,129
250,243
251,77
251,160
251,184
256,73
257,118
258,185
259,165
261,193
264,160
264,174
269,209
274,111
275,160
275,168
275,216
276,192
279,149
279,157
280,227
281,184
281,211
283,115
283,123
284,238
287,113
289,54
289,103
291,111
291,201
292,181
294,238
295,196
296,226
297,52
300,168
301,202
301,262
301,263
302,233
305,148
308,128
308,202
309,110
312,267
312,268
313,104
313,131
317,114
317,191
317,201
320,59
320,129
321,108
321,240
322,203
323,98
323,188
326,195
333,193
334,174
335,183
336,191
336,239
340,206
340,243
344,187
348,173
350,161
350,209
351,180
351,209
354,189
355,105
357,89
358,196
359,219
361,141
365,92
365,235
366,63
366,218
367,60
367,220
368,197
371,189
373,178
374,208
374,213
375,180
375,215
376,117
377,62
378,203
379,59
379,154
380,78
381,76
381,222
381,223
382,219
386,61
392,93
394,164
396,182
397,188
413,122
414,47
419,185
427,148
443,109
444,135
445,138
