21,92
21,118
63,188
64,188
70,191
74,187
75,194
78,163
90,97
125,54
132,58
136,89
137,89
144,41
144,60
147,205
151,49
156,53
159,41
167,140
195,93
195,94
200,158
204,117
204,120
212,123
213,116
213,117
215,108
215,113
216,144
217,144
218,112
227,155
234,192
240,113
240,114
252,180
255,88
267,91
267,92
270,99
271,92
275,97
277,96
279,90
282,94
288,86
290,182
291,189
300,82
300,88
307,105
309,112
310,103
317,128
321,116
322,184
323,94
328,168
332,108
335,154
335,180
338,75
349,90
349,102
350,71
350,88
355,81
356,79
356,104
358,94
363,83
