104,168
104,169
149,59
149,60
149,87
156,86
167,137
167,138
170,138
172,141
186,113
189,119
211,167
211,168
217,205
222,221
224,214
227,89
228,89
234,129
240,154
240,155
249,105
261,124
262,142
263,165
264,165
267,130
273,140
273,143
274,215
274,216
280,49
280,50
282,112
283,146
283,147
284,181
284,182
291,144
291,186
294,181
296,133
299,105
299,196
301,68
301,195
302,154
302,181
309,190
310,181
311,178
311,184
313,184
324,171
325,117
326,176
326,211
330,206
333,66
333,101
334,175
334,179
339,189
340,185
340,187
342,100
342,181
370,125
373,52
375,119
380,71
381,98
382,61
383,88
384,74
386,55
386,79
387,57
413,178
414,106
414,115
414,139
415,159
419,151
420,149
420,184
423,123
423,134
427,157
428,72
431,106
438,93
443,107
443,126
445,108
447,102
450,139
451,137
